ticket_id,status,agent_id,start_ts,completion_ts,arrival_ts,queue,priority,language,duration_slots,first_response_due_ts,resolution_due_ts,first_response_tardiness_min,resolution_tardiness_min
TKT-00001,scheduled,INT-01,2026-03-02 08:15:00,2026-03-02 09:30:00,2026-03-02 08:00:43,Integrations/API,P3,EN,5,2026-03-02 12:00:43,2026-03-04 08:01:00,0.00,0.00
TKT-00002,scheduled,GEN-01,2026-03-02 08:15:00,2026-03-02 08:45:00,2026-03-02 08:05:44,Account Access,P2,EN,2,2026-03-02 09:05:44,2026-03-03 08:06:00,0.00,0.00
TKT-00003,scheduled,GEN-02,2026-03-02 08:15:00,2026-03-02 08:30:00,2026-03-02 08:13:43,Account Access,P2,EN,1,2026-03-02 09:13:43,2026-03-03 08:14:00,0.00,0.00
TKT-00004,scheduled,GEN-03,2026-03-02 08:30:00,2026-03-02 09:00:00,2026-03-02 08:20:05,Product Support,P3,EN,2,2026-03-02 12:20:05,2026-03-04 08:21:00,0.00,0.00
TKT-00005,scheduled,PS-01,2026-03-02 08:30:00,2026-03-02 10:00:00,2026-03-02 08:23:45,Product Support,P3,DE,6,2026-03-02 12:23:45,2026-03-04 08:24:00,0.00,0.00
TKT-00006,scheduled,INT-02,2026-03-02 08:30:00,2026-03-02 09:30:00,2026-03-02 08:26:51,Integrations/API,P2,EN,4,2026-03-02 09:26:51,2026-03-03 08:27:00,0.00,0.00
TKT-00007,scheduled,GEN-02,2026-03-02 08:45:00,2026-03-02 09:15:00,2026-03-02 08:30:28,Product Support,P3,EN,2,2026-03-02 12:30:28,2026-03-04 08:31:00,0.00,0.00
TKT-00008,scheduled,INT-01,2026-03-02 10:45:00,2026-03-02 12:30:00,2026-03-02 08:34:42,Integrations/API,P3,DE,7,2026-03-02 12:34:42,2026-03-04 08:35:00,0.00,0.00
TKT-00009,scheduled,PS-02,2026-03-02 08:45:00,2026-03-02 10:30:00,2026-03-02 08:37:57,Product Support,P2,EN,7,2026-03-02 09:37:57,2026-03-03 08:38:00,0.00,0.00
TKT-00010,scheduled,GEN-01,2026-03-02 08:45:00,2026-03-02 09:00:00,2026-03-02 08:38:01,Product Support,P4,EN,1,2026-03-03 08:39:00,2026-03-09 08:39:00,0.00,0.00
TKT-00011,scheduled,GEN-01,2026-03-02 09:00:00,2026-03-02 09:45:00,2026-03-02 08:38:51,Product Support,P4,EN,3,2026-03-03 08:39:00,2026-03-09 08:39:00,0.00,0.00
TKT-00012,scheduled,GEN-03,2026-03-06 14:45:00,2026-03-06 15:30:00,2026-03-02 08:43:32,Billing,P4,DE,3,2026-03-03 08:44:00,2026-03-09 08:44:00,4681.00,0.00
TKT-00013,scheduled,INT-02,2026-03-02 09:30:00,2026-03-02 10:30:00,2026-03-02 08:46:34,Integrations/API,P3,EN,4,2026-03-02 12:46:34,2026-03-04 08:47:00,0.00,0.00
TKT-00014,scheduled,GEN-03,2026-03-02 09:00:00,2026-03-02 09:30:00,2026-03-02 08:50:55,Billing,P3,EN,2,2026-03-02 12:50:55,2026-03-04 08:51:00,0.00,0.00
TKT-00015,scheduled,INT-02,2026-03-02 10:30:00,2026-03-02 12:30:00,2026-03-02 08:56:12,Integrations/API,P3,EN,8,2026-03-02 12:56:12,2026-03-04 08:57:00,0.00,0.00
TKT-00016,scheduled,PS-01,2026-03-06 08:00:00,2026-03-06 08:45:00,2026-03-02 08:57:28,Product Support,P4,EN,3,2026-03-03 08:58:00,2026-03-09 08:58:00,4262.00,0.00
TKT-00017,scheduled,GEN-02,2026-03-02 09:15:00,2026-03-02 09:45:00,2026-03-02 09:04:07,Account Access,P2,EN,2,2026-03-02 10:04:07,2026-03-03 09:05:00,0.00,0.00
TKT-00018,scheduled,INT-01,2026-03-02 12:30:00,2026-03-02 14:30:00,2026-03-02 09:05:07,Integrations/API,P3,DE,8,2026-03-02 13:05:07,2026-03-04 09:06:00,0.00,0.00
TKT-00019,scheduled,GEN-03,2026-03-02 09:30:00,2026-03-02 09:45:00,2026-03-02 09:06:42,Account Access,P3,EN,1,2026-03-02 13:06:42,2026-03-04 09:07:00,0.00,0.00
TKT-00020,scheduled,GEN-02,2026-03-02 09:45:00,2026-03-02 10:15:00,2026-03-02 09:07:48,Account Access,P3,EN,2,2026-03-02 13:07:48,2026-03-04 09:08:00,0.00,0.00
TKT-00021,scheduled,GEN-03,2026-03-02 09:45:00,2026-03-02 10:30:00,2026-03-02 09:11:26,Product Support,P3,EN,3,2026-03-02 13:11:26,2026-03-04 09:12:00,0.00,0.00
TKT-00022,backlog_end,,,,2026-03-02 09:13:02,Account Access,P4,EN,5,2026-03-03 09:14:00,2026-03-09 09:14:00,,
TKT-00023,scheduled,GEN-03,2026-03-02 15:45:00,2026-03-02 16:00:00,2026-03-02 09:20:06,Account Access,P4,DE,1,2026-03-03 09:21:00,2026-03-09 09:21:00,0.00,0.00
TKT-00024,scheduled,INT-01,2026-03-02 09:30:00,2026-03-02 10:45:00,2026-03-02 09:21:21,Integrations/API,P2,DE,5,2026-03-02 10:21:21,2026-03-03 09:22:00,0.00,0.00
TKT-00025,scheduled,GEN-01,2026-03-02 09:45:00,2026-03-02 10:15:00,2026-03-02 09:26:09,Billing,P3,EN,2,2026-03-02 13:26:09,2026-03-04 09:27:00,0.00,0.00
TKT-00026,scheduled,PS-01,2026-03-02 10:00:00,2026-03-02 10:30:00,2026-03-02 09:26:33,Product Support,P3,EN,2,2026-03-02 13:26:33,2026-03-04 09:27:00,0.00,0.00
TKT-00027,scheduled,INT-02,2026-03-02 12:30:00,2026-03-02 13:15:00,2026-03-02 09:28:33,Integrations/API,P3,EN,3,2026-03-02 13:28:33,2026-03-04 09:29:00,0.00,0.00
TKT-00028,scheduled,PS-02,2026-03-02 10:30:00,2026-03-02 11:30:00,2026-03-02 09:47:37,Product Support,P3,EN,4,2026-03-02 13:47:37,2026-03-04 09:48:00,0.00,0.00
TKT-00029,scheduled,INT-01,2026-03-02 14:30:00,2026-03-02 15:15:00,2026-03-02 09:48:38,Integrations/API,P3,DE,3,2026-03-02 13:48:38,2026-03-04 09:49:00,41.37,0.00
