ticket_id,status,agent_id,start_ts,completion_ts,arrival_ts,queue,priority,language,duration_slots,first_response_due_ts,resolution_due_ts,first_response_tardiness_min,resolution_tardiness_min
TKT-00001,scheduled,INT-01,2026-03-02 08:05:00,2026-03-02 09:20:00,2026-03-02 08:00:43,Integrations/API,P3,EN,15,2026-03-02 12:00:43,2026-03-04 08:00:43,0.00,0.00
TKT-00002,scheduled,GEN-01,2026-03-02 08:10:00,2026-03-02 08:35:00,2026-03-02 08:05:44,Account Access,P2,EN,5,2026-03-02 09:05:44,2026-03-03 08:05:44,0.00,0.00
TKT-00003,scheduled,GEN-02,2026-03-02 08:15:00,2026-03-02 08:30:00,2026-03-02 08:13:43,Account Access,P2,EN,3,2026-03-02 09:13:43,2026-03-03 08:13:43,0.00,0.00
TKT-00004,scheduled,GEN-03,2026-03-02 08:25:00,2026-03-02 08:50:00,2026-03-02 08:20:05,Product Support,P3,EN,5,2026-03-02 12:20:05,2026-03-04 08:20:05,0.00,0.00
TKT-00005,scheduled,PS-01,2026-03-02 08:25:00,2026-03-02 09:45:00,2026-03-02 08:23:45,Product Support,P3,DE,16,2026-03-02 12:23:45,2026-03-04 08:23:45,0.00,0.00
TKT-00006,scheduled,INT-02,2026-03-02 08:30:00,2026-03-02 09:20:00,2026-03-02 08:26:51,Integrations/API,P2,EN,10,2026-03-02 09:26:51,2026-03-03 08:26:51,0.00,0.00
TKT-00007,scheduled,PS-02,2026-03-02 08:35:00,2026-03-02 09:00:00,2026-03-02 08:30:28,Product Support,P3,EN,5,2026-03-02 12:30:28,2026-03-04 08:30:28,0.00,0.00
TKT-00008,scheduled,INT-01,2026-03-02 09:20:00,2026-03-02 10:55:00,2026-03-02 08:34:42,Integrations/API,P3,DE,19,2026-03-02 12:34:42,2026-03-04 08:34:42,0.00,0.00
TKT-00009,scheduled,GEN-02,2026-03-02 08:40:00,2026-03-02 10:15:00,2026-03-02 08:37:57,Product Support,P2,EN,19,2026-03-02 09:37:57,2026-03-03 08:37:57,0.00,0.00
TKT-00010,scheduled,GEN-01,2026-03-02 08:40:00,2026-03-02 08:55:00,2026-03-02 08:38:01,Product Support,P4,EN,3,2026-03-03 08:38:01,2026-03-09 08:38:01,0.00,0.00
TKT-00011,scheduled,GEN-03,2026-03-02 08:50:00,2026-03-02 09:35:00,2026-03-02 08:38:51,Product Support,P4,EN,9,2026-03-03 08:38:51,2026-03-09 08:38:51,0.00,0.00
TKT-00012,scheduled,GEN-01,2026-03-02 08:55:00,2026-03-02 09:30:00,2026-03-02 08:43:32,Billing,P4,DE,7,2026-03-03 08:43:32,2026-03-09 08:43:32,0.00,0.00
TKT-00013,scheduled,INT-02,2026-03-02 09:20:00,2026-03-02 10:10:00,2026-03-02 08:46:34,Integrations/API,P3,EN,10,2026-03-02 12:46:34,2026-03-04 08:46:34,0.00,0.00
TKT-00014,scheduled,GEN-01,2026-03-02 09:30:00,2026-03-02 10:00:00,2026-03-02 08:50:55,Billing,P3,EN,6,2026-03-02 12:50:55,2026-03-04 08:50:55,0.00,0.00
TKT-00015,scheduled,INT-02,2026-03-02 10:10:00,2026-03-02 12:00:00,2026-03-02 08:56:12,Integrations/API,P3,EN,22,2026-03-02 12:56:12,2026-03-04 08:56:12,0.00,0.00
TKT-00016,scheduled,PS-02,2026-03-02 09:00:00,2026-03-02 09:45:00,2026-03-02 08:57:28,Product Support,P4,EN,9,2026-03-03 08:57:28,2026-03-09 08:57:28,0.00,0.00
TKT-00017,scheduled,SIC-01,2026-03-02 09:05:00,2026-03-02 09:35:00,2026-03-02 09:04:07,Account Access,P2,EN,6,2026-03-02 10:04:07,2026-03-03 09:04:07,0.00,0.00
TKT-00018,scheduled,INT-01,2026-03-02 10:55:00,2026-03-02 12:50:00,2026-03-02 09:05:07,Integrations/API,P3,DE,23,2026-03-02 13:05:07,2026-03-04 09:05:07,0.00,0.00
TKT-00019,scheduled,GEN-03,2026-03-02 09:35:00,2026-03-02 09:45:00,2026-03-02 09:06:42,Account Access,P3,EN,2,2026-03-02 13:06:42,2026-03-04 09:06:42,0.00,0.00
TKT-00020,scheduled,GEN-03,2026-03-02 09:45:00,2026-03-02 10:10:00,2026-03-02 09:07:48,Account Access,P3,EN,5,2026-03-02 13:07:48,2026-03-04 09:07:48,0.00,0.00
