ticket_id,status,agent_id,start_ts,completion_ts,arrival_ts,queue,priority,language,duration_slots,first_response_due_ts,resolution_due_ts,first_response_tardiness_min,resolution_tardiness_min
TKT-00001,scheduled,INT-02,2026-03-02 12:00:00,2026-03-02 13:15:00,2026-03-02 08:00:43,Integrations/API,P3,EN,5,2026-03-02 12:00:43,2026-03-04 08:01:00,0.00,0.00
TKT-00002,scheduled,GEN-03,2026-03-02 10:00:00,2026-03-02 10:30:00,2026-03-02 08:05:44,Account Access,P2,EN,2,2026-03-02 09:05:44,2026-03-03 08:06:00,54.27,0.00
TKT-00003,scheduled,SIC-01,2026-03-02 10:00:00,2026-03-02 10:15:00,2026-03-02 08:13:43,Account Access,P2,EN,1,2026-03-02 09:13:43,2026-03-03 08:14:00,46.28,0.00
TKT-00004,scheduled,GEN-02,2026-03-02 11:45:00,2026-03-02 12:15:00,2026-03-02 08:20:05,Product Support,P3,EN,2,2026-03-02 12:20:05,2026-03-04 08:21:00,0.00,0.00
TKT-00005,scheduled,PS-01,2026-03-02 12:15:00,2026-03-02 13:45:00,2026-03-02 08:23:45,Product Support,P3,DE,6,2026-03-02 12:23:45,2026-03-04 08:24:00,0.00,0.00
TKT-00006,scheduled,INT-02,2026-03-02 10:00:00,2026-03-02 11:00:00,2026-03-02 08:26:51,Integrations/API,P2,EN,4,2026-03-02 09:26:51,2026-03-03 08:27:00,33.15,0.00
TKT-00007,scheduled,GEN-01,2026-03-02 12:00:00,2026-03-02 12:30:00,2026-03-02 08:30:28,Product Support,P3,EN,2,2026-03-02 12:30:28,2026-03-04 08:31:00,0.00,0.00
TKT-00008,scheduled,INT-01,2026-03-02 10:00:00,2026-03-02 11:45:00,2026-03-02 08:34:42,Integrations/API,P3,DE,7,2026-03-02 12:34:42,2026-03-04 08:35:00,0.00,0.00
TKT-00009,scheduled,PS-02,2026-03-02 10:00:00,2026-03-02 11:45:00,2026-03-02 08:37:57,Product Support,P2,EN,7,2026-03-02 09:37:57,2026-03-03 08:38:00,22.05,0.00
TKT-00010,scheduled,GEN-02,2026-03-02 10:30:00,2026-03-02 10:45:00,2026-03-02 08:38:01,Product Support,P4,EN,1,2026-03-03 08:39:00,2026-03-09 08:39:00,0.00,0.00
TKT-00011,backlog_current_run,,,,2026-03-02 08:38:51,Product Support,P4,EN,3,2026-03-03 08:39:00,2026-03-09 08:39:00,,
TKT-00012,scheduled,GEN-03,2026-03-02 15:15:00,2026-03-02 16:00:00,2026-03-02 08:43:32,Billing,P4,DE,3,2026-03-03 08:44:00,2026-03-09 08:44:00,0.00,0.00
TKT-00013,scheduled,INT-02,2026-03-02 11:00:00,2026-03-02 12:00:00,2026-03-02 08:46:34,Integrations/API,P3,EN,4,2026-03-02 12:46:34,2026-03-04 08:47:00,0.00,0.00
TKT-00014,scheduled,GEN-02,2026-03-02 11:15:00,2026-03-02 11:45:00,2026-03-02 08:50:55,Billing,P3,EN,2,2026-03-02 12:50:55,2026-03-04 08:51:00,0.00,0.00
TKT-00015,scheduled,INT-02,2026-03-02 13:15:00,2026-03-02 15:15:00,2026-03-02 08:56:12,Integrations/API,P3,EN,8,2026-03-02 12:56:12,2026-03-04 08:57:00,18.80,0.00
TKT-00016,backlog_current_run,,,,2026-03-02 08:57:28,Product Support,P4,EN,3,2026-03-03 08:58:00,2026-03-09 08:58:00,,
